provider_sk,provider_name,specialty,department_name,service_line,hospital,claim_count,gross_charges,total_payments,denied_claims,avg_charge_lag_days,open_ar,denial_rate,avg_charge_per_claim
756551578729996547,"Tina Herrera , MD",Anesthesiology,Orthopedic Surgery,Surgical,HOSP_A,128,974123.36,639578.32,11,6.109375,112543.30,0.0859,7610.34
6954399715647267851,"Jennifer Harris , PA-C",Orthopedic Surgery,Radiology,Ancillary,HOSP_A,133,901204.06,506699.65,22,5.556390977443609,130679.52,0.1654,6775.97
3828733601890803433,"Eric Yu , NP",Radiology,Laboratory,Ancillary,HOSP_A,114,835491.73,529888.05,10,6.192982456140351,63282.71,0.0877,7328.87
6735114265751212266,"Meghan Davis , MD",Obstetrics & Gynecology,Laboratory,Ancillary,HOSP_B,111,834955.95,470139.70,16,6.225225225225225,111491.75,0.1441,7522.13
747167072961424885,"Cynthia Baker , MD",Physical Medicine,Radiology,Ancillary,HOSP_B,107,834310.80,570377.93,9,5.355140186915888,72623.47,0.0841,7797.30
6746354110231212151,"Andrew Hickman , MD",Obstetrics & Gynecology,Emergency Department,Emergency,HOSP_A,119,832492.65,526806.99,14,5.495798319327731,102687.40,0.1176,6995.74
3410362611155472853,"Mark Lin , NP",Orthopedic Surgery,Orthopedic Surgery,Surgical,HOSP_A,111,826884.65,466917.51,27,6.009009009009009,124904.05,0.2432,7449.41
7368379064327486222,"Tara White , MD",Obstetrics & Gynecology,Physical Therapy,Ambulatory,HOSP_A,110,826101.46,608235.48,9,5.836363636363636,50500.98,0.0818,7510.01
2654711198826484840,"Angel Doyle , MD",General Surgery,Physical Therapy,Ambulatory,HOSP_B,99,786489.90,500249.99,8,5.888888888888889,45863.68,0.0808,7944.34
2708364546777014089,"Maria Montgomery , MD",Orthopedic Surgery,Orthopedic Surgery,Surgical,HOSP_B,123,785317.45,517618.49,11,5.0894308943089435,38808.74,0.0894,6384.69
4170527595371339621,"Lisa Adams , MD",Orthopedic Surgery,Obstetrics,Inpatient,HOSP_A,134,784484.83,466731.60,21,5.791044776119403,93414.74,0.1567,5854.36
7321995186142314389,"Sydney Baker , MD",Physical Medicine,Radiology,Ancillary,HOSP_B,108,776862.85,505668.22,16,5.194444444444445,97944.20,0.1481,7193.17
975841753837344117,"Yolanda Ferrell , MD",Radiology,Emergency Department,Emergency,HOSP_A,127,775825.16,523856.37,9,5.551181102362205,83898.75,0.0709,6108.86
2067332376023988321,"Scott Callahan , DO",Orthopedic Surgery,Physical Therapy,Ambulatory,HOSP_A,115,768047.07,464320.56,12,4.826086956521739,88897.39,0.1043,6678.67
7276972814221663726,"Diana Foster , MD",Cardiology,Cardiology,Ambulatory,HOSP_B,109,758408.61,484760.63,9,5.715596330275229,122371.44,0.0826,6957.88
3430121461282083515,"Charles Lewis , MD",Family Medicine,Internal Medicine,Ambulatory,HOSP_A,118,745530.50,521240.77,11,5.898305084745763,63651.99,0.0932,6318.06
2614160701821636570,"Laura Henderson , MD",Physical Medicine,Emergency Department,Emergency,HOSP_A,111,735615.99,505800.01,11,5.792792792792793,75223.79,0.0991,6627.17
5708105500561008808,"Frank Gray , MD",Family Medicine,Physical Therapy,Ambulatory,HOSP_A,103,729213.06,461487.28,11,6.320388349514563,58905.28,0.1068,7079.74
6086790625067941054,"Alexander Le , NP",Emergency Medicine,Internal Medicine,Ambulatory,HOSP_A,111,727027.96,498503.82,17,5.135135135135135,69430.30,0.1532,6549.80
5542187683829904920,"Kimberly Henson , DO",Cardiology,Orthopedic Surgery,Surgical,HOSP_A,106,720380.74,497345.20,12,5.1415094339622645,88058.98,0.1132,6796.04
7303632055457354329,"Rodney Owens , NP",Family Medicine,Cardiology,Ambulatory,HOSP_B,104,709819.16,487679.68,9,5.4423076923076925,93865.87,0.0865,6825.18
42466540050744874,"Christopher Tucker , DO",General Surgery,Radiology,Ancillary,HOSP_A,103,708521.74,509488.43,8,5.41747572815534,86482.94,0.0777,6878.85
1250332870806131857,"Jason Hahn , DO",Obstetrics & Gynecology,Physical Therapy,Ambulatory,HOSP_A,109,705554.57,479612.64,15,4.972477064220183,48384.15,0.1376,6472.98
7017508957457254456,"Robin Ellis , MD",Family Medicine,Cardiology,Ambulatory,HOSP_A,130,704763.23,482881.95,13,5.476923076923077,60952.54,0.1,5421.26
7476403339232346831,"Dennis Wilson , PA-C",Physical Medicine,Physical Therapy,Ambulatory,HOSP_B,95,704176.44,468853.87,12,5.726315789473684,70061.20,0.1263,7412.38
8029038889967091171,"Joseph Jacobs , PA-C",Physical Medicine,Cardiology,Ambulatory,HOSP_B,106,704015.39,481056.53,8,5.632075471698113,51168.99,0.0755,6641.65
6066478822277370773,"Joseph Zuniga , MD",Family Medicine,Internal Medicine,Ambulatory,HOSP_A,115,703996.93,454905.19,7,6.104347826086957,107146.83,0.0609,6121.71
